name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
MAGIC SIX,Motor Yachts,10,4,3,"1 Master, 1 VIP, 2 Twin, 2 Pullman",23.95m / 78'7,Astondoa Astondoa,2004 | 2021 (Refitted),10 Knots,6.2m / 20'4,1.4m / 4'7,72 GT,82 GLX 82 GLX,Nuvolari Lenard,Nuvolari Lenard,"€26,000 p/week + expenses Approx $29,500","€32,000 p/week + expenses Approx $36,500","Mediterranean, Croatia,, Montenegro",,"€26,000 p/week + expenses Approx $29,500","€26,000 p/week + expenses Approx $29,500","Mediterranean, Croatia,, Montenegro",,"The 24.95m/81'10"" motor yacht 'Magic Six' by the Spanish shipyard Astondoa offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by Italian designer Nuvolari Lenard.",
MAGNOLIA ONE,Motor Yachts,6,3,2,"1 Master, 1 VIP, 1 Twin",24m / 78'9,Magnolia Yachts Magnolia Yachts,2022,12 Knots,6.4m / 21',1.6m / 5'3,90 GT,Custom,Taka Yacht Design,Taka Yacht Design,"€50,000 p/week + expenses Approx $57,000","€50,000 p/week + expenses Approx $57,000","Mediterranean, Turkey",,"€50,000 p/week + expenses Approx $57,000","€50,000 p/week + expenses Approx $57,000","Mediterranean, Turkey",,"The 24m/78'9"" 'Magnolia One' motor yacht built by shipyard Magnolia Yachts is available for charter for up to 6 guests in 3 cabins. This  yacht  features interior styling by Taka Yacht Design.",
MAMMA'S,Motor Yachts,9,4,4,"1 Master, 1 VIP, 2 Twin",23.95m / 78'7,Sanlorenzo Sanlorenzo,2003 | 2024 (Refitted),22 Knots,6.17m / 20'3,2.1m / 6'11,90 GT,SL82 SL82,Sanlorenzo,Sanlorenzo,"€30,000 p/week + expenses Approx $34,000","€35,000 p/week + expenses Approx $40,000","Mediterranean, Greece",,"€30,000 p/week + expenses Approx $34,000","€35,000 p/week + expenses Approx $40,000","Mediterranean, Greece",,"The 23.95m/78'7"" 'Mamma's' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Italian designer Sanlorenzo.",
MEME,Motor Yachts,9,4,4,"1 Master, 1 VIP, 2 Twin, 1 Pullman",23.98m / 78'8,Maiora Maiora,2006 | 2021 (Refitted),17.5 Knots,5.8m / 19',1.8m / 5'11,71 GT,Maiora 24 Maiora 24,,Roberto Del Re,"€31,000 p/week + expenses Approx $36,000","€35,000 p/week + expenses Approx $40,500","Mediterranean, France,, Italy,, Malta,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€31,000 p/week + expenses Approx $36,000","€35,000 p/week + expenses Approx $40,500",,,"The 24m/78'9"" 'Meme' motor yacht built by the Italian shipyard Maiora is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Roberto Del Re.",
MINERVA,Motor Yachts,8,4,3,"1 Master, 1 VIP, 2 Twin, 1 Pullman",24m / 78'9,Azimut Azimut,2004 | 2022 (Refitted),24 Knots,5.9m / 19'4,1.81m / 5'11,,Azimut 80 Carat Azimut 80 Carat,Stefano Righini,,"€26,000 p/week + expenses Approx $30,500","€31,000 p/week + expenses Approx $36,500","Mediterranean, France,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Ligurian Riviera, Sardinia","€26,000 p/week + expenses Approx $30,500","€31,000 p/week + expenses Approx $36,500","Mediterranean, France,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Ligurian Riviera, Sardinia","The 23.99m/78'8"" 'Minerva' motor yacht built by the Italian shipyard Azimut is available for charter for up to 8 guests in 4 cabins.",
MR CORN,Motor Yachts,10,4,3,,24m / 78'9,Azimut Azimut,2010 | 2023 (Refitted),15 Knots,5.65m / 18'6,1.78m / 5'10,,Custom,,,"€34,000 p/week + expenses Approx $39,000","€39,000 p/week + expenses Approx $44,500",,"Ibiza, The Balearics",,,,,"The 24m/78'9"" 'Mr Corn' open yacht built by the Italian shipyard Azimut is available for charter for up to 10 guests in 4 cabins.",
MY WORLD,Motor Yachts,6,3,2,"1 Double, 2 Single",24m / 78'9,Wajer Wajer,2025,26 Knots,5.8m / 19',1.8m / 5'11,56 GT,Wajer 77 Wajer 77,,,"€66,000 p/week + expenses Approx $75,500","€81,000 p/week + expenses Approx $92,500","Mediterranean, Monaco","Calvi, Cannes, Corsica, French Riviera, Sardinia, St Tropez",,,,,"The 23.5m/77'1"" motor yacht 'My World' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Dutch shipyard Wajer  she can comfortably accommodate up to 6 guests in 3 cabins.",
NAMASTE,Motor Yachts,7,3,2,"2 Double, 1 Twin",23.96m / 78'7,Leopard Leopard,2004,20 Knots,6.1m / 20',1m / 3'3,68 GT,Leopard 24 Leopard 24,,,"€27,000 p/week + expenses Approx $31,000","€30,000 p/week + expenses Approx $34,000",,,"€27,000 p/week + expenses Approx $31,000","€30,000 p/week + expenses Approx $34,000",,,"The 23.96m/78'7"" 'Namaste' open yacht built by shipyard Leopard is available for charter for up to 7 guests in 3 cabins.",
NATASSA,Motor Yachts,,,,,24.99m / 82',Ferretti Yachts Ferretti Yachts,2007 | 2021 (Refitted),24 Knots,6.26m / 20'6,1.9m / 6'3,104 GT,Ferretti 830 Ferretti 830,Zuccon,Zuccon,"€34,000 p/week + expenses Approx $39,500","€37,000 p/week + expenses Approx $42,500","Mediterranean, Greece",,"€34,000 p/week + expenses Approx $39,500","€34,000 p/week + expenses Approx $39,500","Mediterranean, Greece",,"The 26.02m/85'4"" 'Natassa' motor yacht built by the Italian shipyard Ferretti Yachts is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Zuccon.",
NINETEEN,Motor Yachts,8,4,4,"1 Master, 1 VIP, 2 Twin",24.05m / 78'11,Ferretti Yachts Ferretti Yachts,2008 | 2022 (Refitted),25 Knots,5.95m / 19'6,1.85m / 6'1,,Ferretti 780 Ferretti 780,,,"€32,000 p/week + expenses Approx $36,500","€36,000 p/week + expenses Approx $41,000","Mediterranean, Greece",Mykonos,"€32,000 p/week + expenses Approx $36,500","€32,000 p/week + expenses Approx $36,500","Mediterranean, Greece",Mykonos,"The 24.05m/78'11"" 'Nineteen' motor yacht built by the Italian shipyard Ferretti Yachts is available for charter for up to 8 guests in 4 cabins.",
OLA,Motor Yachts,8,4,3,"1 Master, 1 VIP, 2 Twin",23.95m / 78'7,Sanlorenzo Sanlorenzo,1997 | 2021 (Refitted),12 Knots,6.17m / 20'3,2.08m / 6'10,,SL82 SL82,Sanlorenzo,Sanlorenzo,"€22,000 p/week + expenses Approx $25,500","€24,500 p/week + expenses Approx $28,500","Mediterranean, France,, Monaco","Corsica, French Riviera","€22,000 p/week + expenses Approx $25,500","€24,500 p/week + expenses Approx $28,500","Mediterranean, France,, Monaco","Corsica, French Riviera, Sardinia","The 23.95m/78'7"" 'Ola' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Sanlorenzo.",
OLA MONA,Motor Yachts,6,3,2,"1 Master, 1 Double, 1 Twin",24m / 78'9,Leopard Leopard,2006 | 2016 (Refitted),30 Knots,6.1m / 20',1m / 3'3,50 GT,Leopard 24 Leopard 24,,,"€27,000 p/week + expenses Approx $31,000","€27,000 p/week + expenses Approx $31,000","Mediterranean, Italy","Amalfi Coast, Corsica","€27,000 p/week + expenses Approx $31,000","€27,000 p/week + expenses Approx $31,000",,,"The 23.96m/78'7"" open yacht 'Ola Mona' by shipyard Leopard offers flexible accommodation for up to 6 guests in 3 cabins.",
ORLANDO L,Motor Yachts,8,4,4,"1 Master, 1 VIP, 2 Twin, 1 Pullman",24.05m / 78'11,Ferretti Yachts Ferretti Yachts,2007 | 2022 (Refitted),25 Knots,5.95m / 19'6,1.86m / 6'1,100 GT,Ferretti 780 Ferretti 780,Zuccon,Zuccon,"€33,000 p/week + expenses Approx $37,500","€37,400 p/week + expenses Approx $42,500","Mediterranean, Croatia,, Montenegro",,"€33,000 p/week + expenses Approx $37,500","€37,400 p/week + expenses Approx $42,500","Mediterranean, Croatia,, Montenegro",,"The 24.05m/78'11"" 'Orlando L' motor yacht built by the Italian shipyard Ferretti Yachts is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Zuccon.",
OXYGEN 8,Motor Yachts,10,4,4,"1 Master, 1 VIP, 2 Twin",23.98m / 78'8,Ferretti Yachts Ferretti Yachts,2004 | 2022 (Refitted),21 Knots,6m / 19'8,2.27m / 7'5,80 GT,Ferretti 80 Ferretti 80,Ferretti Yachts,Zuccon,"€33,000 p/week + expenses Approx $37,500","€35,000 p/week + expenses Approx $40,000","Mediterranean, Greece",Mykonos,"€33,000 p/week + expenses Approx $37,500","€33,000 p/week + expenses Approx $37,500","Mediterranean, Greece",Mykonos,"The 24m/78'9"" motor yacht 'Oxygen 8' by the Italian shipyard Ferretti Yachts offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by Italian designer Zuccon.",
PAMPERO,Motor Yachts,8,4,3,"2 Double, 2 Twin",24m / 78'9,Ferretti Yachts Ferretti Yachts,2004 | 2016 (Refitted),23 Knots,5.95m / 19'6,1.4m / 4'7,,Custom,Ferretti Yachts,,"€31,000 p/week + expenses Approx $36,500","€36,000 p/week + expenses Approx $42,000","Mediterranean, Italy","Amalfi Coast, Calvi, Corsica, Sardinia","€31,000 p/week + expenses Approx $36,500","€31,000 p/week + expenses Approx $36,500","Mediterranean, Italy","Amalfi Coast, Calvi, Corsica, Sardinia","The 23.75m/77'11"" 'Pampero' motor yacht built by the Italian shipyard Ferretti Yachts is available for charter for up to 8 guests in 4 cabins.",
PERFECTION,Motor Yachts,7,3,3,"1 Master, 1 Double, 1 Twin, 2 Convertible, 1 Pullman",23.93m / 78'6,Baltic Yachts Baltic Yachts,2017,17 Knots,5.76m / 18'11,1.2m / 3'11,63 GT,Baltic M78 Baltic M78,German Frers,Design Unlimited,"€29,000 p/week + expenses Approx $33,000","€35,000 p/week + expenses Approx $40,000",,,"€29,000 p/week + expenses Approx $33,000","€35,000 p/week + expenses Approx $40,000",,,"The 23.93m/78'6"" motor yacht 'Perfection' by the Finnish shipyard Baltic Yachts offers flexible accommodation for up to 7 guests in 3 cabins and features interior styling by British designer Design Unlimited.",
PHOENIX,Motor Yachts,8,4,3,"1 Master, 1 Double, 2 Twin",24m / 78'9,Sunseeker Sunseeker,2007 | 2024 (Refitted),25 Knots,6m / 19'8,1.72m / 5'8,77 GT,Predator 82 Predator 82,Don Shead Yacht Design,Sunseeker,"€29,500 p/week + expenses Approx $34,500","€32,000 p/week + expenses Approx $37,000","Mediterranean, Greece",Mykonos,"€29,500 p/week + expenses Approx $34,500","€29,500 p/week + expenses Approx $34,500","Mediterranean, Greece",Mykonos,"The 24.97m/81'11"" open yacht 'Phoenix' by the British shipyard Sunseeker offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by British designer Sunseeker.",
PIKES PEAK,Motor Yachts,6,3,3,"1 Master, 1 Double, 1 Twin",24m / 78'9,Riva Riva,1998,25 Knots,6.12m / 20'1,2.8m / 9'2,127 GT,24' Open 24' Open,Officina Italiana Design,"Officina Italiana Design, Mauro Micheli","€22,250 p/week + expenses Approx $25,500","€27,000 p/week + expenses Approx $31,000","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","€22,250 p/week + expenses Approx $25,500",POA,"Mediterranean, France,, Italy,, Monaco","Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","The 23.89m/78'5"" motor yacht 'Pikes Peak' by the Italian shipyard Riva offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by Italian designer Officina Italiana Design.",
RAGNAR DANNESKJOLD,Motor Yachts,,4,2,"1 Master, 1 VIP, 2 Twin",24m / 78'9,Royal Denship Royal Denship,2006 | 2011 (Refitted),32 Knots,6.4m / 21',1.52m / 5',,Royal Denship 82 Royal Denship 82,,,"$23,000 p/week + expenses","$23,000 p/week + expenses","Caribbean, Bahamas",,"$23,000 p/week + expenses","$23,000 p/week + expenses","Caribbean, Bahamas",,The 24.99m/82' open yacht 'Ragnar Danneskjold' by the Danish shipyard Royal Denship offers flexible accommodation for up to 8 guests in 4 cabins.,
ROSIQUE,Motor Yachts,7,4,2,"2 Double, 1 Twin, 1 Single",24m / 78'9,Maiora Maiora,2002 | 2019 (Refitted),10 Knots,5.8m / 19',1.8m / 5'11,90 GT,Maiora 24S Maiora 24S,Maiora,Maiora,"€33,000 p/week + expenses Approx $38,500","€33,000 p/week + expenses Approx $38,500",,,,,,,"The 24m/78'9"" 'Rosique' motor yacht built by the Italian shipyard Maiora is available for charter for up to 7 guests in 4 cabins. This  yacht  features interior styling by Italian designer Maiora.",
SAI KUNG,Motor Yachts,9,4,2,"1 Master, 2 Double, 1 Triple",23.98m / 78'8,American Marine American Marine,1975 | 2015 (Refitted),9 Knots,6.38m / 20'11,3.13m / 10'3,150 GT,Custom Custom,Robert S. Dorris,Burger Boat,"€16,000 p/week + expenses Approx $18,000","€18,000 p/week + expenses Approx $20,500","Mediterranean, Italy,, Monaco","Amalfi Coast, Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","€16,000 p/week + expenses Approx $18,000","€16,000 p/week + expenses Approx $18,000","Mediterranean, Italy,, Monaco","Amalfi Coast, Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","The 24.62m/80'9"" classic yacht 'Sai Kung' by shipyard American Marine offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by American designer Burger Boat.",
SILVIA M,Motor Yachts,6,3,3,"1 Master, 1 Double, 1 Twin",24m / 78'9,Nordhavn Nordhavn,2008,10 Knots,6.4m / 21',2.4m / 7'10,,N76 N76,,,,,,,,,,,"The 24m/78'9"" 'Silvia M' motor yacht built by the American shipyard Nordhavn is available for charter for up to 6 guests in 3 cabins.",
SLIP AWAY,Motor Yachts,8,4,2,"1 Master, 1 VIP, 2 Double",24m / 78'9,Baia Yachts Baia Yachts,2007 | 2024 (Refitted),37 Knots,5.94m / 19'6,1.15m / 3'9,75 GT,Atlantica 78 Atlantica 78,Alberto Ascenzi,Carlo Galeazzi,"€45,000 p/week + expenses Approx $51,500","€48,000 p/week + expenses Approx $54,500","Mediterranean, Italy,, Monaco","Calvi, Cannes, Corsica, French Riviera, Sardinia, St Tropez",,,,,"The 24m/78'9"" open yacht 'Slip Away' by shipyard Baia Yachts offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Carlo Galeazzi.",
SOL,Motor Yachts,8,4,4,,23.95m / 78'7,Sunreef Yachts Sunreef Yachts,2023,9 Knots,11.5m / 37'9,2.2m / 7'3,96 GT,80 Sunreef Power Eco 80 Sunreef Power Eco,Sunreef Yachts,OBrien Design Group,"$100,000 p/week + expenses","$100,000 p/week + expenses","Caribbean, Bahamas",,"$100,000 p/week + expenses","$100,000 p/week + expenses",,,"The 23.8m/78'1"" motor yacht 'Sol' is an excellent new superyacht for the luxury charter market. Delivered by the Polish shipyard Sunreef Yachts  and featuring interior styling by OBrien Design Group she can comfortably accommodate up to 8 guests in 4 cabins.",
SOLAL,Motor Yachts,8,4,2,"1 Master, 1 VIP, 2 Twin, 2 Pullman",23.95m / 78'7,Sanlorenzo Sanlorenzo,2000 | 2021 (Refitted),22 Knots,6.3m / 20'8,1.79m / 5'10,68 GT,SL82 SL82,,,"€20,000 p/week + expenses Approx $23,000","€26,000 p/week + expenses Approx $29,500","Mediterranean, Croatia,, Montenegro",,"€20,000 p/week + expenses Approx $23,000","€20,000 p/week + expenses Approx $23,000","Mediterranean, Croatia,, Montenegro",,"The 23.95m/78'7"" motor yacht 'Solal' by the Italian shipyard Sanlorenzo offers flexible accommodation for up to 8 guests in 4 cabins.",
SPOOM,Motor Yachts,8,3,3,"1 Master, 2 Double",24m / 78'9,Gideon Shipyards Gideon Shipyards,1962 | 2010 (Refitted),10 Knots,6m / 19'8,2.4m / 7'10,87 GT,Custom Custom,,,,,,,,,,,"The 24m/78'9"" 'Spoom' classic yacht built by Gideon Shipyards is available for charter for up to 8 guests in 3 cabins.",
SQP SALVESE QUIEN PUEDA,Motor Yachts,8,4,3,"1 Master, 1 Double, 2 Twin",23.96m / 78'7,Azimut Azimut,2005 | 2022 (Refitted),30 Knots,5.07m / 16'8,1.58m / 5'2,32 GT,Azimut 86S Azimut 86S,,Carlo Galeazzi,"€30,000 p/week + expenses Approx $34,000","€42,000 p/week + expenses Approx $48,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia",,,,,"The 23.96m/78'7"" 'SQP Salvese Quien Pueda' motor yacht built by the Italian shipyard Azimut is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Carlo Galeazzi.",
SWEETWATER,Motor Yachts,6,3,2,,24m / 78'9,Wajer Wajer,2021,26.5 Knots,5.8m / 19',1.8m / 5'11,,Wajer 77 Wajer 77,,,POA,POA,,,POA,POA,,,"The 23.5m/77'1"" motor yacht 'Sweetwater' by the Dutch shipyard Wajer offers flexible accommodation for up to 6 guests in 3 cabins.",
TESORO,Motor Yachts,8,4,3,"1 Master, 1 VIP, 2 Twin",24m / 78'9,Ferretti Yachts Ferretti Yachts,2008 | 2022 (Refitted),22 Knots,5.95m / 19'6,1.9m / 6'3,98 GT,Ferretti 780 Ferretti 780,,"Ferretti Yachts, Zuccon","€30,000 p/week + expenses Approx $34,000","€34,000 p/week + expenses Approx $39,000","Mediterranean, Croatia,, Montenegro",,"€30,000 p/week + expenses Approx $34,000","€34,000 p/week + expenses Approx $39,000","Mediterranean, Croatia,, Montenegro",,"The 24m/78'9"" 'Tesoro' motor yacht built by the Italian shipyard Ferretti Yachts is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Ferretti Yachts.",
TIMELESS,Motor Yachts,6,3,3,,24m / 78'9,Trumpy Trumpy,1947 | 2022 (Refitted),11 Knots,5.49m / 18',1.45m / 4'9,80 GT,Custom Custom,John Trumpy,,"$60,000 p/week + expenses","$69,000 p/week + expenses","Caribbean, Bahamas","Florida, New England","$60,000 p/week + expenses","$69,000 p/week + expenses","Caribbean, Bahamas","Florida, New England",The 24.38m/80' 'Timeless' motor yacht built by shipyard Trumpy is available for charter for up to 6 guests in 3 cabins.,
TRILOGY,Motor Yachts,8,4,3,"1 Master, 1 VIP, 1 Double/Twin, 1 Twin",24m / 78'9,Ferretti Yachts Ferretti Yachts,2025,12 Knots,6.36m / 20'10,1.85m / 6'1,80 GT,INFYNITO 80 INFYNITO 80,Filippo Salvetti,Ideaeitalia,"€55,000 p/week + expenses Approx $64,000","€65,000 p/week + expenses Approx $75,500","Mediterranean, Italy","Amalfi Coast, Sardinia","€55,000 p/week + expenses Approx $64,000","€65,000 p/week + expenses Approx $75,500","Mediterranean, Italy","Amalfi Coast, Sardinia","The 23.7m/77'9"" motor yacht 'Trilogy' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Italian shipyard Ferretti Yachts  and featuring interior styling by Italian designer Ideaeitalia she can comfortably accommodate up to 8 guests in 4 cabins.",
ULTIM,Motor Yachts,6,3,2,"1 Master, 1 Double, 1 Twin",24m / 78'9,Leopard Leopard,2006 | 2020 (Refitted),24 Knots,6.1m / 20',1.2m / 3'11,66 GT,Leopard 24 Leopard 24,Paolo Caliari,Owner,"€30,000 p/week + expenses Approx $34,000","€30,000 p/week + expenses Approx $34,000","Caribbean, Antigua,, Saint Martin,, St Barts",,"€30,000 p/week + expenses Approx $34,000","€30,000 p/week + expenses Approx $34,000","Caribbean, Antigua,, Saint Martin,, St Barts",,"The 23.96m/78'7"" 'Ultim' open yacht built by shipyard Leopard is available for charter for up to 6 guests in 3 cabins. This  yacht  features interior styling by Owner.",
VINCI II,Motor Yachts,9,4,4,"1 Master, 1 VIP, 2 Twin",23.97m / 78'8,Sanlorenzo Sanlorenzo,2019,17 Knots,7.2m / 23'7,1.7m / 5'7,145 GT,SX88 SX88,Officina Italiana Design,,"€55,000 p/week + expenses Approx $64,500","€65,000 p/week + expenses Approx $76,000","Mediterranean, France,, Monaco","Calvi, Corsica, French Riviera","€55,000 p/week + expenses Approx $64,500","€65,000 p/week + expenses Approx $76,000",,,The 26.82m/88' 'Vinci II' (ex. Silaos IV) motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 9 guests in 4 cabins.,
XKE,Motor Yachts,8,4,3,,24m / 78'9,Fairline Fairline,2007,27 Knots,5.7m / 18'8,-,51 GT,Squadron 78 Squadron 78,Bernard Olesinski,,"$19,500 p/week + expenses","$29,000 p/week + expenses",,"Amalfi Coast, Ligurian Riviera, Portofino, Sardinia",,,,,"The 24.4m/80'1"" 'XKE' motor yacht built by the British shipyard Fairline is available for charter for up to 8 guests in 4 cabins.",
ZEUS,Motor Yachts,6,3,4,"1 Master, 1 Double, 1 Twin",23.96m / 78'7,Leopard Leopard,2006 | 2022 (Refitted),25 Knots,6.1m / 20',1.2m / 3'11,66 GT,Leopard 24 Leopard 24,Caliari Superyacht Inc.,,"€35,000 p/week + expenses Approx $40,500","€52,500 p/week + expenses Approx $61,000","Mediterranean, Greece",Mykonos,"€35,000 p/week + expenses Approx $40,500","€35,000 p/week + expenses Approx $40,500","Mediterranean, Greece",Mykonos,"The 23.96m/78'7"" 'Zeus' motor yacht built by shipyard Leopard is available for charter for up to 6 guests in 3 cabins.",
ZIA CANAIA,Motor Yachts,9,4,3,"1 Master, 1 VIP, 2 Twin",23.96m / 78'7,Riva Riva,2001 | 2017 (Refitted),24 Knots,6.14m / 20'2,2.8m / 9'2,127 GT,24' Open 24' Open,Officina Italiana Design,"Officina Italiana Design, Mauro Micheli","€28,500 p/week + expenses Approx $32,500","€33,500 p/week + expenses Approx $38,000","Mediterranean, Italy","Amalfi Coast, Sardinia","€23,000 p/week + expenses Approx $26,000","€23,000 p/week + expenses Approx $26,000","Mediterranean, Italy","Amalfi Coast, Sardinia","The 23.89m/78'5"" 'Zia Canaia' motor yacht built by the Italian shipyard Riva is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Italian designer Officina Italiana Design.",
A&I,Motor Yachts,8,4,3,"1 Master, 1 VIP, 2 Twin",23.8m / 78'1,Alfamarine Alfamarine,2006,40 Knots,5.7m / 18'8,1.5m / 4'11,98 GT,Alfamarine 78 Alfamarine 78,,,"€28,000 p/week + expenses Approx $32,000","€31,500 p/week + expenses Approx $36,000","Mediterranean, Greece","Mykonos, Santorini","€28,000 p/week + expenses Approx $32,000","€31,500 p/week + expenses Approx $36,000","Mediterranean, Greece,, Turkey",Mykonos,"The 23.8m/78'1"" open yacht 'A&I' by shipyard Alfamarine offers flexible accommodation for up to 8 guests in 4 cabins.",
ALLEGRIA,Motor Yachts,8,4,2,"1 Master, 1 VIP, 2 Twin",23.75m / 77'11,Sanlorenzo Sanlorenzo,2019,10 Knots,6.6m / 21'8,1.65m / 5'5,78 GT,SX76 SX76,Officina Italiana Design,Marty Lowe,"€45,000 p/week + expenses Approx $51,500","€49,000 p/week + expenses Approx $56,000","Mediterranean, Croatia,, Montenegro",,,,,,"The 23.75m/77'11"" 'Allegria' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by American designer Marty Lowe.",
ANDROMEDA,Motor Yachts,8,4,4,"1 Master, 1 VIP, 2 Twin, 1 Convertible",23.9m / 78'5,Posillipo Posillipo,1997 | 2023 (Refitted),24 Knots,6.3m / 20'8,2.7m / 8'10,99 GT,Technema 80 Technema 80,Tommaso Spadolini,,"€31,000 p/week + expenses Approx $35,500","€35,000 p/week + expenses Approx $40,000","Mediterranean, Greece",Mykonos,"€31,000 p/week + expenses Approx $35,500","€31,000 p/week + expenses Approx $35,500","Mediterranean, Greece",Mykonos,"The 26.4m/86'7"" 'Andromeda' motor yacht built by shipyard Posillipo is available for charter for up to 8 guests in 4 cabins.",
ARAMIS,Motor Yachts,8,4,3,"1 Master, 1 VIP, 1 Twin, 1 Convertible",23.83m / 78'2,Princess Princess,2011 | 2020 (Refitted),26 Knots,5.66m / 18'7,1.65m / 5'5,48 GT,Princess V78 Princess V78,,,"€38,000 p/week + expenses Approx $44,500","€48,000 p/week + expenses Approx $56,000",,"Corsica, Sardinia",,,,,"The 23.83m/78'2"" motor yacht 'Aramis' by the British shipyard Princess offers flexible accommodation for up to 8 guests in 4 cabins.",
BET ON IT,Motor Yachts,6,3,2,"1 Master, 1 VIP, 1 Twin",23.7m / 77'9,Leopard Leopard,2000 | 2008 (Refitted),22 Knots,6.1m / 20',1.52m / 5',48 GT,Leopard 24 Leopard 24,Andrea Bacigalupo,,,,,,,,,,"The 23.96m/78'7"" 'Bet On It' open yacht built by shipyard Leopard is available for charter for up to 6 guests in 3 cabins.",
BYSCAINE,Motor Yachts,8,4,3,"1 Master, 1 VIP, 1 Double, 1 Twin",23.8m / 78'1,Astondoa Astondoa,2008 | 2025 (Refitted),22 Knots,6m / 19'8,1.6m / 5'3,79 GT,Custom,,,"€47,000 p/week + expenses Approx $54,500","€54,000 p/week + expenses Approx $62,500",,"Ibiza, Mallorca, The Balearics",,,,,"The 23.5m/77'1"" motor yacht 'Byscaine' by the Spanish shipyard Astondoa offers flexible accommodation for up to 8 guests in 4 cabins.",
CARINO,Motor Yachts,10,5,4,"1 Double, 4 Twin",23.8m / 78'1,Versilcraft Versilcraft,1984,16 Knots,6.1m / 20',2.46m / 8'1,,Custom,,,"€28,000 p/week + expenses Approx $33,000","€30,000 p/week + expenses Approx $35,000","Mediterranean, Greece","Mykonos, Santorini","€28,000 p/week + expenses Approx $33,000","€30,000 p/week + expenses Approx $35,000","Mediterranean, Montenegro",,The 23.77m/78' motor yacht 'Carino' by shipyard Versilcraft offers flexible accommodation for up to 10 guests in 5 cabins.,
CLOUD IX,Motor Yachts,7,3,3,,23.75m / 77'11,Sanlorenzo Sanlorenzo,2019,16 Knots,6.6m / 21'8,1.65m / 5'5,74 GT,SX76 SX76,Officina Italiana Design,Marty Lowe,"€37,500 p/week + expenses Approx $43,000","€43,500 p/week + expenses Approx $49,500",,"Ibiza, The Balearics","€37,500 p/week + expenses Approx $43,000","€43,500 p/week + expenses Approx $49,500",,"Ibiza, The Balearics","The 23.75m/77'11"" motor yacht 'Cloud IX' by the Italian shipyard Sanlorenzo offers flexible accommodation for up to 7 guests in 3 cabins and features interior styling by American designer Marty Lowe.",
DILNISIN,Motor Yachts,6,3,3,"1 Master, 2 Twin",23.9m / 78'5,Taka Yacht Design Taka Yacht Design,2013 | 2020 (Refitted),12 Knots,6m / 19'8,1.6m / 5'3,108 GT,Custom Custom,Taka Yacht Design,Taka Yacht Design,"€22,750 p/week + expenses Approx $27,000","€26,250 p/week + expenses Approx $31,000","Mediterranean, Turkey",,"€19,250 p/week + expenses Approx $23,000","€22,750 p/week + expenses Approx $27,000","Mediterranean, Turkey",,"The 23.8m/78'1"" 'Dilnisin' motor yacht built by shipyard Taka Yacht Design is available for charter for up to 6 guests in 3 cabins. This  yacht  features interior styling by Taka Yacht Design.",
