,name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
2238,MOKSHA,Open Yachts,6.0,3.0,4.0,,26.37m / 86'6,Warren Yachts Warren Yachts,2006,27 Knots,5.94m / 19'6,1.5m / 4'11,,S87 S87,Peter Lowe Design,Anthony Starr,,,,,,,,,"The 26.37m/86'6"" 'Moksha' open yacht built by shipyard Warren Yachts is available for charter for up to 6 guests in 3 cabins. This  yacht  features interior styling by Anthony Starr.",
2239,MOLLY MALONE,Motor Yachts,9.0,4.0,4.0,"1 Master, 2 Double, 1 Twin, 1 Pullman",29.4m / 96'5,Princess Princess,2008 | 2015 (Refitted),15 Knots,7.04m / 23'1,1.83m / 6',126 GT,Princess 95 Motor Yacht Princess 95 Motor Yacht,,,"€44,000 p/week + expenses Approx $50,000","€50,000 p/week + expenses Approx $57,000","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera","€44,000 p/week + expenses Approx $50,000","€50,000 p/week + expenses Approx $57,000","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera","The 29.3m/96'2"" motor yacht 'Molly Malone' by the British shipyard Princess offers flexible accommodation for up to 9 guests in 4 cabins.",
2240,MON CHATEAU,Motor Yachts,8.0,4.0,3.0,"1 Master, 1 VIP, 2 Twin",26.82m / 88',Sanlorenzo Sanlorenzo,2020,16 Knots,7.01m / 23',1.83m / 6',141 GT,SX88 SX88,Officina Italiana Design,Studio Lissoni,"$64,000 p/week + expenses","$68,000 p/week + expenses",,,"$64,000 p/week + expenses","$68,000 p/week + expenses","Caribbean, Bahamas",,The 26.82m/88' 'Mon Chateau' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Studio Lissoni.,
2241,MONACO,Classic Yachts,8.0,4.0,7.0,"1 Master, 1 VIP, 2 Twin",37.9m / 124'4,Feadship Feadship,1982 | 2023 (Refitted),10 Knots,7m / 23',3.1m / 10'2,257 GT,Custom Custom,De Voogt,Terence Disdale,"€80,000 p/week + expenses Approx $94,000","€90,000 p/week + expenses Approx $105,500","Mediterranean, France,, Monaco","Corsica, French Riviera","€65,000 p/week + expenses Approx $76,000","€70,000 p/week + expenses Approx $82,000",,,"The 37.95m/124'6"" classic yacht 'Monaco' by the Dutch shipyard Feadship offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by English designer Terence Disdale.",
2242,MONARA,Classic Yachts,8.0,4.0,4.0,"1 Master, 1 VIP, 2 Twin",25.81m / 84'8,Feadship Feadship,1969 | 2016 (Refitted),10 Knots,5.87m / 19'3,2.13m / 7',83 GT,Custom Custom,De Voogt,,"€35,000 p/week + expenses Approx $40,500","€40,000 p/week + expenses Approx $46,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€35,000 p/week + expenses Approx $40,500","€40,000 p/week + expenses Approx $46,500",,,"The 25.8m/84'8"" classic yacht 'Monara' by the Dutch shipyard Feadship offers flexible accommodation for up to 8 guests in 4 cabins.",
2243,MONIQUE,Catamarans,16.0,8.0,10.0,"1 VIP, 8 Double/Twin",34.14m / 112',Custom Custom,2026,12 Knots,12.8m / 42',-,,Custom Custom,Golden Galapagos Cruises,Golden Galapagos Cruises,POA,POA,South America,,POA,POA,South America,,The 34.14m/112' catamaran yacht 'Monique' by shipyard Custom offers flexible accommodation for up to 16 guests in 8 cabins and features interior styling by Golden Galapagos Cruises.,
2244,MONTE CARLO,Motor Yachts,10.0,5.0,7.0,"1 Master, 1 VIP, 2 Double, 1 Twin",40.2m / 131'11,Amels Amels,1988 | 2016 (Refitted),12 Knots,8.06m / 26'5,2.36m / 7'9,358 GT,Custom Custom,Diana Yacht Design,Ralph Lauren,"€70,000 p/week + expenses Approx $82,000","€75,000 p/week + expenses Approx $87,500","Mediterranean, Greece,, Turkey",Mykonos,"€50,000 p/week + expenses Approx $58,500","€75,000 p/week + expenses Approx $87,500",,,The 40.23m/132' motor yacht 'Monte Carlo' by the Dutch shipyard Amels offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Ralph Lauren.,
2245,MONTECRISTO,Gulet Yachts,,4.0,4.0,"1 Master, 2 Double, 1 Twin",26m / 85'4,Neta Marine Neta Marine,2007 | 2018 (Refitted),10 Knots,6.6m / 21'8,1m / 3'3,84 GT,Custom Custom,,,,,,,,,,,"The 26m/85'4"" gulet yacht 'Montecristo' was built by Neta Marine in Turkey. She was last refitted in 2018.",9.0
2246,MONTENAPO,Motor Yachts,8.0,4.0,4.0,,26.92m / 88'4,Riva Riva,2024,20 Knots,6.31m / 20'8,1.97m / 6'6,85 GT,88' Folgore 88' Folgore,Officina Italiana Design,Officina Italiana Design,"€72,000 p/week + expenses Approx $82,000","€82,000 p/week + expenses Approx $93,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€72,000 p/week + expenses Approx $82,000","€72,000 p/week + expenses Approx $82,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","The 26.92m/88'4"" motor yacht 'Montenapo' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Riva  and featuring interior styling by Italian designer Officina Italiana Design she can comfortably accommodate up to 8 guests in 4 cabins.",
2247,MONTICELLO II,Motor Yachts,8.0,4.0,4.0,"1 Master, 1 VIP, 2 Twin",25.3m / 83',Ferretti Yachts Ferretti Yachts,2006 | 2016 (Refitted),15 Knots,6.26m / 20'6,1.87m / 6'2,78 GT,Ferretti 830 Ferretti 830,Zuccon,Zuccon,,,,,,,,,"The 26.02m/85'4"" 'Monticello II' motor yacht built by the Italian shipyard Ferretti Yachts is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Zuccon.",
2248,MOON GLIDER,Open Yachts,7.0,3.0,3.0,"1 Master, 1 Double, 1 Twin, 1 Pullman",27m / 88'7,Leopard Leopard,2003 | 2013 (Refitted),30 Knots,6.05m / 19'10,1.75m / 5'9,79 GT,Leopard 27 Leopard 27,Andrea Bacigalupo,Arno,"€21,000 p/week + expenses Approx $24,000","€30,000 p/week + expenses Approx $34,000","Mediterranean, Monaco","Calvi, Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","€21,000 p/week + expenses Approx $24,000","€30,000 p/week + expenses Approx $34,000","Mediterranean, Monaco","Calvi, Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","The 27m/88'7"" open yacht 'Moon Glider' by shipyard Leopard offers flexible accommodation for up to 7 guests in 3 cabins and features interior styling by Arno.",
2249,MOON RIVER,Motor Yachts,8.0,4.0,5.0,"1 Master, 1 VIP, 2 Twin",36.56m / 119'11,Feadship Feadship,1991 | 2022 (Refitted),11 Knots,8m / 26'3,2.1m / 6'11,297 GT,Custom Custom,De Voogt,Chan and Mohney Architecture,"$72,000 p/week + expenses","$77,000 p/week + expenses",,New England,"$72,000 p/week + expenses","$77,000 p/week + expenses","Caribbean, Bahamas",Florida,"The 36.5m/119'9"" motor yacht 'Moon River' by the Dutch shipyard Feadship offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Chan and Mohney Architecture.",
2250,MOON SAND,Motor Yachts,10.0,5.0,15.0,"1 Master, 1 VIP, 1 Double, 2 Twin",55.5m / 182'1,Lurssen Lurssen,2021 | 2024 (Refitted),13 Knots,10.5m / 34'5,3.1m / 10'2,830 GT,Custom Custom,Bannenberg & Rowell,Bannenberg & Rowell,"€475,000 p/week + expenses Approx $554,000","€525,000 p/week + expenses Approx $612,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","$475,000 p/week + expenses","$525,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The 55.5m/182'1"" motor yacht 'Moon Sand' by the German shipyard Lurssen offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by English designer Bannenberg & Rowell.",
2251,MOON STAR,Motor Yachts,10.0,5.0,6.0,"1 Master, 4 Double",34.2m / 112'2,Görkem Yat Görkem Yat,2000,19 Knots,7.14m / 23'5,1.32m / 4'4,,Custom,,,"€53,000 p/week + expenses Approx $60,500","€67,500 p/week + expenses Approx $77,000","Mediterranean, Turkey",,"€53,000 p/week + expenses Approx $60,500","€67,500 p/week + expenses Approx $77,000","Mediterranean, Turkey",,"The 34.2m/112'2"" 'Moon Star' motor yacht built by shipyard Görkem Yat is available for charter for up to 10 guests in 5 cabins.",
2252,MOONBEAM IV,Classic Yachts,7.0,3.0,6.0,"1 Master, 2 Twin, 1 Pullman",32m / 105',William Fife & Sons William Fife & Sons,1914 | 2022 (Refitted),7.5 Knots,5.1m / 16'9,3.9m / 12'10,39 GT,Custom,William Fife,William Fife,"€48,000 p/week + expenses Approx $54,500","€48,000 p/week + expenses Approx $54,500",,,"€48,000 p/week + expenses Approx $54,500","€48,000 p/week + expenses Approx $54,500","Mediterranean, France,, Italy,, Monaco","Calvi, Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","The 32.1m/105'4"" 'Moonbeam IV' classic yacht built by shipyard William Fife & Sons is available for charter for up to 7 guests in 3 cabins. This  yacht  features interior styling by William Fife.",
2253,MOONBEAM OF FIFE III,Classic Yachts,4.0,2.0,5.0,"1 Master, 1 Twin",31m / 101'8,William Fife & Sons William Fife & Sons,1903 | 2017 (Refitted),9 Knots,4.72m / 15'6,3.25m / 10'8,42 GT,Custom Custom,William Fife,,"€35,000 p/week + expenses Approx $40,000","€35,000 p/week + expenses Approx $40,000","Mediterranean, Monaco","Calvi, Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","€35,000 p/week + expenses Approx $40,000","€35,000 p/week + expenses Approx $40,000","Mediterranean, Monaco","Calvi, Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","The 31m/101'8"" 'Moonbeam of Fife III' classic yacht built by shipyard William Fife & Sons is available for charter for up to 4 guests in 2 cabins.",
2254,MOONDANCE,Catamarans,6.0,3.0,2.0,"1 Master, 2 Double",21.34m / 70',Sunreef Yachts Sunreef Yachts,2016,10 Knots,9.27m / 30'5,1.83m / 6',,70 Sunreef Power 70 Sunreef Power,,,"$35,000 p/week + expenses","$35,000 p/week + expenses","South Pacific, New Zealand",,"$35,000 p/week + expenses","$35,000 p/week + expenses","South Pacific, New Zealand",,The 21.34m/70' catamaran yacht 'Moondance' by the Polish shipyard Sunreef Yachts offers flexible accommodation for up to 6 guests in 3 cabins.,
2255,MOONDANCE,Motor Yachts,8.0,4.0,5.0,"1 Master, 1 Double, 2 Twin",29.2m / 95'10,Azimut Azimut,1994,13 Knots,6.19m / 20'4,2.07m / 6'9,147 GT,Azimut 96' Starlight Azimut 96' Starlight,Stefano Righini,Zuretti,"€35,000 p/week + expenses Approx $40,500","€35,000 p/week + expenses Approx $40,500","Mediterranean, Italy,, Monaco","Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","€35,000 p/week + expenses Approx $40,500","€35,000 p/week + expenses Approx $40,500","Mediterranean, Italy,, Monaco","Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","The 29.97m/98'4"" motor yacht 'Moondance' by the Italian shipyard Azimut offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by French designer Zuretti.",
2256,MOONLIGHT,Motor Yachts,8.0,4.0,4.0,,26.38m / 86'7,Sunseeker Sunseeker,2021,15 Knots,6.47m / 21'3,1.95m / 6'5,90 GT,88 Yacht 88 Yacht,Sunseeker,Sunseeker,"€56,900 p/week + expenses Approx $66,000","€63,900 p/week + expenses Approx $74,500",,"Ibiza, The Balearics","€56,900 p/week + expenses Approx $66,000","€63,900 p/week + expenses Approx $74,500",,"Ibiza, The Balearics","The 26.38m/86'7"" 'Moonlight' motor yacht built by the British shipyard Sunseeker is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by British designer Sunseeker.",
2257,MOONLIGHT II,Motor Yachts,36.0,18.0,36.0,"1 Master, 1 VIP, 8 Double, 8 Twin",91.4m / 299'10,Neorion Neorion,2005 | 2020 (Refitted),12 Knots,14.5m / 47'7,4.15m / 13'7,"3,052 GT",Custom Custom,"Alpha Marine, Lally Poulias","Alpha Marine, Lally Poulias","€645,000 p/week + expenses Approx $735,500","€695,000 p/week + expenses Approx $792,500","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€645,000 p/week + expenses Approx $735,500","€695,000 p/week + expenses Approx $792,500",,"Abu Dhabi, Dubai",The sophisticated 91m (299ft) motor yacht MOONLIGHT II was built in 2005 by Neorion and last refitted in 2015.,
2258,MOONLIGHT II OF LONDON,Sailing Yachts,8.0,4.0,4.0,4 Double,29.7m / 97'5,CIM CIM,1993,9 Knots,6.24m / 20'6,3m / 9'10,109 GT,Maxi 88 Maxi 88,Sparkman & Stephens,Studio Garroni,"€24,000 p/week + expenses Approx $27,500","€27,000 p/week + expenses Approx $31,000","Mediterranean, Croatia,, Montenegro,, Turkey",,,,,,"The 29.7m/97'5"" sail yacht 'Moonlight II of London' by shipyard CIM offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Studio Garroni.",
2259,MOONRAKER,Motor Yachts,8.0,4.0,6.0,"1 Master, 2 Double, 1 Twin",36m / 118'1,Norship Norship,1992 | 2021 (Refitted),15 Knots,7.32m / 24',1.6m / 5'3,212 GT,Custom Custom,Mulder Design,Art Line,"€32,000 p/week + expenses Approx $36,500","€52,500 p/week + expenses Approx $60,000",,"Ibiza, The Balearics","€32,000 p/week + expenses Approx $36,500","€52,500 p/week + expenses Approx $60,000",,"Ibiza, The Balearics","The 36.6m/120'1"" 'Moonraker' motor yacht built by shipyard Norship is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Art Line.",
2260,MOONRAKER,Motor Yachts,10.0,5.0,9.0,"1 Master, 3 VIP, 1 Double/Twin",47.4m / 155'6,Bilgin Yachts Bilgin Yachts,2019,11 Knots,8.75m / 28'8,2.8m / 9'2,499 GT,Bilgin 156 Bilgin 156,Unique Yacht Design,Bilgin Yachts,"$325,000 p/week + expenses","$325,000 p/week + expenses","Caribbean, Bahamas",,"$325,000 p/week + expenses","$325,000 p/week + expenses","Caribbean, Bahamas",,"The 47.5m/155'10"" motor yacht 'Moonraker' by the Turkish shipyard Bilgin Yachts offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Turkish designer Bilgin Yachts.",
2261,MOONRAKER II,Motor Yachts,8.0,6.0,5.0,"1 Master, 1 VIP, 2 Double/Twin",29.87m / 98',Azimut Azimut,1997 | 2023 (Refitted),14 Knots,6.1m / 20',1.8m / 5'11,139 GT,Azimut 97 Azimut 97,Azimut,Terence Disdale,"€30,000 p/week + expenses Approx $34,000","€37,000 p/week + expenses Approx $42,000",,,"€30,000 p/week + expenses Approx $34,000","€37,000 p/week + expenses Approx $42,000",,,The 29.87m/98' 'Moonraker II' (ex. Georgia Rose) motor yacht built by the Italian shipyard Azimut is available for charter for up to 8 guests in 6 cabins. This  yacht  features interior styling by English designer Terence Disdale.,
2262,MOONSHOT,Motor Yachts,8.0,4.0,3.0,"1 Master, 1 VIP, 1 Twin, 1 Bunk Cabin",24.64m / 80'10,Sanlorenzo Sanlorenzo,2018,25 Knots,5.74m / 18'10,1.83m / 6',62 GT,SL78 SL78,Officina Italiana Design,Officina Italiana Design,"€45,000 p/week + expenses Approx $52,000","€50,000 p/week + expenses Approx $58,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€45,000 p/week + expenses Approx $52,000","€50,000 p/week + expenses Approx $58,000","Mediterranean, France,, Monaco","Calvi, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","The 24.59m/80'8"" 'Moonshot' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Officina Italiana Design.",
2263,MORE,Motor Yachts,10.0,5.0,9.0,"1 Master, 2 Double, 2 Twin",45m / 147'8,Benetti Benetti,2003 | 2012 (Refitted),13 Knots,9.26m / 30'5,2.72m / 8'11,387 GT,Vision 145' Vision 145',Stefano Righini,Zuretti,"€115,000 p/week + expenses Approx $131,000","€135,000 p/week + expenses Approx $154,000",,,"€115,000 p/week + expenses Approx $131,000","€135,000 p/week + expenses Approx $154,000",,,The 44.2m/145' 'More' motor yacht built by the Italian shipyard Benetti is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by French designer Zuretti.,
2264,MORFISE,Open Yachts,6.0,3.0,3.0,"1 Master, 1 Double, 1 Twin, 1 Pullman",25.07m / 82'3,Mangusta Mangusta,1998 | 2008 (Refitted),33 Knots,5.9m / 19'4,1.58m / 5'2,86 GT,Mangusta 80 Open Mangusta 80 Open,Andrea Bacigalupo,Mangusta,"€30,000 p/week + expenses Approx $34,000","€30,000 p/week + expenses Approx $34,000","Mediterranean, France,, Monaco","Corsica, French Riviera",,,,,The 24.38m/80' open yacht 'Morfise' by the Italian shipyard Mangusta offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by Italian designer Mangusta.,
2265,MORNING STAR,Gulet Yachts,12.0,6.0,4.0,"1 Master, 1 VIP, 2 Double, 2 Twin, 2 Pullman",27m / 88'7,Custom Custom,2008 | 2016 (Refitted),-,7.5m / 24'7,2.6m / 8'6,,Custom,,,"€22,000 p/week + expenses Approx $25,500","€26,900 p/week + expenses Approx $31,500","Mediterranean, Croatia,, Montenegro",,"€22,000 p/week + expenses Approx $25,500","€26,900 p/week + expenses Approx $31,500","Mediterranean, Croatia,, Montenegro",,"The 27m/88'7"" 'Morning Star' gulet yacht built by shipyard Custom is available for charter for up to 12 guests in 6 cabins.",
2266,MORNING STAR,Motor Yachts,12.0,5.0,5.0,"1 Master, 2 Double, 2 Twin",30.61m / 100'5,Custom Line Custom Line,2013 | 2025 (Refitted),12 Knots,7.25m / 23'9,1.97m / 6'6,199 GT,Custom Line 100' Custom Line 100',Zuccon,Zuccon,"€69,000 p/week + expenses Approx $80,500","€69,000 p/week + expenses Approx $80,500","Mediterranean, Croatia,, Montenegro",,"€64,000 p/week + expenses Approx $74,500","€64,000 p/week + expenses Approx $74,500","Mediterranean, Croatia,, Montenegro",,"The 30.6m/100'5"" 'Morning Star' motor yacht built by the Italian shipyard Custom Line is available for charter for up to 12 guests in 5 cabins. This  yacht  features interior styling by Italian designer Zuccon.",
2267,MORNING STAR,Motor Yachts,10.0,5.0,7.0,"1 Master, 2 Double, 2 Double/Twin",36.5m / 119'9,Sanlorenzo Sanlorenzo,2018 | 2018 (Refitted),18 Knots,7.6m / 24'11,2.25m / 7'5,269 GT,SL118 SL118,Francesco Paszkowski Design,Francesco Paszkowski Design,"€115,000 p/week + expenses Approx $134,000","€130,000 p/week + expenses Approx $151,500","Mediterranean, Turkey",,"$110,000 p/week + expenses","$125,000 p/week + expenses",,,"The 36.5m/119'9"" 'Morning Star' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Francesco Paszkowski Design.",
2268,MOSAIQUE,Motor Yachts,12.0,6.0,12.0,"1 Master, 1 VIP, 3 Double, 1 Twin",49.99m / 164',Turquoise Yachts Turquoise Yachts,2002 | 2022 (Refitted),12 Knots,9.3m / 30'6,2.74m / 9',589 GT,Custom Custom,Dubois,"Donald Starkey, Kristina Ferrand","$200,000 p/week + expenses","€220,000 p/week + expenses Approx $256,500","Mediterranean, France,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Ligurian Riviera, Sardinia","$200,000 p/week + expenses","$220,000 p/week + expenses","Caribbean, Bahamas",,"The 50.01m/164'1"" 'Mosaique' motor yacht built by the Turkish shipyard Turquoise Yachts is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by Donald Starkey.",
2269,MOSKITO,Motor Yachts,12.0,6.0,13.0,"1 Master, 1 VIP, 2 Double, 2 Twin",55m / 180'5,Heesen Heesen,2021,13.5 Knots,9.6m / 31'6,2.85m / 9'4,757 GT,55m Steel 55m Steel,Omega Architects,Bannenberg & Rowell,"€350,000 p/week + expenses Approx $410,000","€400,000 p/week + expenses Approx $468,500","Mediterranean, Croatia,, France,, Italy,, Malta,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","$350,000 p/week + expenses","$400,000 p/week + expenses","Caribbean, Antigua,, Saint Martin,, St Barts",Virgin Islands,"The 55m/180'5"" 'Moskito' motor yacht built by the Dutch shipyard Heesen is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by English designer Bannenberg & Rowell.",
2270,MOSS,Sailing Yachts,11.0,5.0,,"2 Master, 2 Double, 1 Triple",40m / 131'3,Vos Marine Vos Marine,2016,-,7.85m / 25'9,3.55m / 11'8,145 GT,Custom,,,"€60,000 p/week + expenses Approx $68,500","€61,250 p/week + expenses Approx $70,000","Mediterranean, Turkey",,"€60,000 p/week + expenses Approx $68,500","€61,250 p/week + expenses Approx $70,000","Mediterranean, Turkey",,"The 40m/131'3"" sail yacht 'Moss' by shipyard Vos Marine offers flexible accommodation for up to 11 guests in 5 cabins.",
2271,MOTTO,Gulet Yachts,10.0,5.0,4.0,,23.95m / 78'7,Custom Custom,2023,9 Knots,6.35m / 20'10,2.54m / 8'4,,Custom,,,"€18,000 p/week + expenses Approx $20,500","€25,000 p/week + expenses Approx $28,500","Mediterranean, Turkey",,,,,,"The 23.95m/78'7"" gulet yacht 'Motto' is an excellent new superyacht for the luxury charter market. Delivered by shipyard Custom  she can comfortably accommodate up to 10 guests in 5 cabins.",
2272,MOVIE SET,Motor Yachts,10.0,5.0,6.0,"1 Master, 1 Double, 3 Twin",29.87m / 98',Knight & Carver Knight & Carver,1983 | 2009 (Refitted),9 Knots,8.5m / 27'11,2m / 6'7,193 GT,Custom Custom,,,"$31,200 p/week + expenses","$39,000 p/week + expenses","Central America, Costa Rica",,"$39,000 p/week + expenses","$39,000 p/week + expenses","Central America, Costa Rica",,"The 29.9m/98'1"" motor yacht 'Movie Set' by shipyard Knight & Carver offers flexible accommodation for up to 10 guests in 5 cabins.",
2273,MOWANA,Motor Yachts,9.0,4.0,4.0,"1 Master, 1 VIP, 2 Convertible",26.39m / 86'7,Sunseeker Sunseeker,2023,19 Knots,6.4m / 21',1.98m / 6'6,89 GT,88 Yacht 88 Yacht,Sunseeker,Sunseeker,"€68,000 p/week + expenses Approx $80,000","€76,000 p/week + expenses Approx $89,500","Mediterranean, Croatia,, Montenegro",,POA,POA,,,"The 26.29m/86'3"" motor yacht 'Mowana' is an excellent new superyacht for the luxury charter market. Delivered by the British shipyard Sunseeker  and featuring interior styling by British designer Sunseeker she can comfortably accommodate up to 9 guests in 4 cabins.",
2274,MOZZ II,Motor Yachts,10.0,4.0,4.0,"1 Master, 1 VIP, 2 Twin, 2 Pullman",26.87m / 88'2,Sunseeker Sunseeker,2012 | 2023 (Refitted),20 Knots,6.4m / 21',2m / 6'7,74 GT,88 Yacht 88 Yacht,Sunseeker,Sunseeker,"€48,000 p/week + expenses Approx $54,500","€52,000 p/week + expenses Approx $59,500",,"Ibiza, The Balearics",,,,,"The 26.9m/88'3"" motor yacht 'Mozz II' by the British shipyard Sunseeker offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by British designer Sunseeker.",
2275,MR CORN,Open Yachts,10.0,4.0,3.0,,24m / 78'9,Azimut Azimut,2010 | 2023 (Refitted),15 Knots,5.65m / 18'6,1.78m / 5'10,,Custom,,,"€34,000 p/week + expenses Approx $39,000","€39,000 p/week + expenses Approx $44,500",,"Ibiza, The Balearics",,,,,"The 24m/78'9"" 'Mr Corn' open yacht built by the Italian shipyard Azimut is available for charter for up to 10 guests in 4 cabins.",
2276,MR SEA,Motor Yachts,10.0,4.0,4.0,"1 Master, 1 VIP, 2 Double/Twin, 2 Pullman",28.02m / 91'11,Sunseeker Sunseeker,2009 | 2021 (Refitted),22 Knots,6.3m / 20'8,2.01m / 6'7,96 GT,90 Yacht 90 Yacht,Sunseeker,Sunseeker,"€47,000 p/week + expenses Approx $53,500","€50,000 p/week + expenses Approx $57,000","Mediterranean, France,, Monaco","Corsica, French Riviera","€47,000 p/week + expenses Approx $53,500","€50,000 p/week + expenses Approx $57,000","Mediterranean, France,, Monaco","Corsica, French Riviera","The 27.99m/91'10"" motor yacht 'Mr Sea' (ex. Georgina) by the British shipyard Sunseeker offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by British designer Sunseeker.",
2277,MR T,Motor Yachts,10.0,5.0,9.0,"1 Master, 2 Double, 2 Twin, 2 Pullman",46.3m / 151'11,Baglietto Baglietto,2014,12 Knots,9.5m / 31'2,2.95m / 9'8,496 GT,Baglietto 46 Baglietto 46,Francesco Paszkowski Design,Francesco Paszkowski Design,"€225,000 p/week + expenses Approx $256,500","€225,000 p/week + expenses Approx $256,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€225,000 p/week + expenses Approx $256,500","€225,000 p/week + expenses Approx $256,500",,,"The 46.3m/151'11"" motor yacht 'Mr T' by the Italian shipyard Baglietto offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Francesco Paszkowski Design.",
2278,MR WHITE,Motor Yachts,8.0,4.0,3.0,"1 Master, 2 Double, 1 Twin",23.9m / 78'5,Benetti Sail Divisio Benetti Sail Divisio,2006,10 Knots,6.2m / 20'4,2.1m / 6'11,,Custom,Riccardo Paoli,Riccardo Paoli,"€25,000 p/week + expenses Approx $28,500","€30,000 p/week + expenses Approx $34,000",,,,,,,"The 23.9m/78'5"" 'Mr White' motor yacht built by shipyard Benetti Sail Division is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Riccardo Paoli.",
2279,MR. K,Motor Yachts,12.0,5.0,5.0,"1 Master, 1 VIP, 1 Double, 2 Twin",29.64m / 97'3,Azimut Azimut,2025,16 Knots,7.06m / 23'2,2.03m / 6'8,199 GT,Magellano 30M Magellano 30M,Ken Freivokh,Yachtique,"€100,000 p/week + expenses Approx $116,500","€125,000 p/week + expenses Approx $145,500","Mediterranean, France,, Italy,, Malta,, Monaco","Calvi, Corsica, Sardinia",,,,,"The 29.6m/97'1"" motor yacht 'Mr. K' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Italian shipyard Azimut  and featuring interior styling by Italian designer Yachtique she can comfortably accommodate up to 12 guests in 5 cabins.",
2280,MR. K IRISTON,Motor Yachts,10.0,5.0,4.0,"1 Master, 2 Double, 2 Twin",28.06m / 92'1,Sunseeker Sunseeker,2021,21 Knots,6.55m / 21'6,2.13m / 7',101 GT,95 Yacht 95 Yacht,Sunseeker,Sunseeker,"€100,000 p/week + expenses Approx $116,000","€100,000 p/week + expenses Approx $116,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€100,000 p/week + expenses Approx $116,000","€100,000 p/week + expenses Approx $116,000","Mediterranean, Italy","Amalfi Coast, Sardinia","The 28.06m/92'1"" 'Mr. K Iriston' motor yacht built by the British shipyard Sunseeker is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by British designer Sunseeker.",
